,Title,Author,Release date,Price $
346,Storyteller,Lorelei King,10-29-18,9
347,Room to Dream,David Lynch,06-19-18,24
348,BMF,Mara Shalhoup,06-25-19,12
349,Resistance,Tori Amos,05-05-20,16
350,The Black Stone,Robert E. Howard,03-03-23,9
351,John Wayne,Scott Eyman,09-02-14,35
352,No Logo,Naomi Klein,12-13-11,26
353,Let Love Have the Last Word,Common,05-07-19,15
354,Wild and Crazy Guys,Nick de Semlyen,05-28-19,32
355,In Montmartre,Sue Roe,04-21-15,18
356,Strong Female Character,Fern Brady,02-16-23,27
357,"Thanks a Lot, Mr. Kibblewhite",Roger Daltrey,10-23-18,21
358,How I Slept My Way to the Middle,Kevin Pollak,11-06-12,22
359,The Book of Awesome,Neil Pasricha,07-03-18,17
360,Rita Moreno,Rita Moreno,03-05-13,18
361,The Lonely City,Olivia Laing,06-02-16,21
362,Ametora,W. David Marx,05-31-16,17
363,Sorry Not Sorry,Naya Rivera,10-11-16,18
364,"A Pattern Language: Towns, Buildings, Construction",Christopher Alexander,07-28-21,26
365,ScreenAge,Fenton Bailey,03-28-23,25
366,Meet Me by the Fountain,Alexandra Lange,06-14-22,25
367,James Acaster's Guide to Quitting Social Media,James Acaster,08-18-22,23
368,Most Dope,Paul Cantor,02-22-22,17
369,Priceless,Robert K. Wittman,06-01-10,18
370,One Little Spark!,Marty Sklar,09-01-15,22
371,Under the Big Black Sun,John Doe,04-26-16,18
372,No Rules Rules,Reed Hastings,09-08-20,15
373,Johnny Carson,Henry Bushkin,10-15-13,26
374,When the Drummers Were Women,Layne Redmond,11-16-22,17
375,In the Pleasure Groove,John Taylor,10-16-12,18
376,Even This I Get to Experience,Norman Lear,10-14-14,21
377,18 and Life on Skid Row,Sebastian Bach,12-06-16,25
378,Digging Up Mother,Johnny Depp - foreword,08-16-16,22
379,The King of Late Night,Greg Gutfeld,07-25-23,19
380,You Ought to Know Adam Wade,Adam Wade,01-02-20,8
381,Dickens and Prince,Nick Hornby,11-15-22,16
382,Apollo's Angels,Jennifer Homans,02-10-11,40
383,Pat in the City,Patricia Field,02-14-23,32
384,The New Comedy Bible,Judy Carter,01-09-21,17
385,Who Is Michael Ovitz?,Michael Ovitz,09-25-18,32
386,Kate Remembered,A. Scott Berg,05-05-05,28
387,Walking in Wonder,John O'Donohue,10-02-18,11
388,A Challenge for the Actor,Uta Hagen,02-05-21,22
389,Picasso and the Painting That Shocked the World,Miles J. Unger,03-13-18,24
390,Anger Is an Energy,John Lydon,08-11-15,33
391,Still Foolin' 'Em,Billy Crystal,09-10-13,15
392,Hamilton,Lin-Manuel Miranda,04-12-16,30
393,Call Me Mrs. Brown,Brendan O'Carroll,10-13-22,16
394,"So, Anyway...",John Cleese,12-13-16,32
395,I'm the Man,Scott Ian,04-25-17,20
396,Homey Don't Play That!,David Peisner,06-26-18,18
397,Marvel Comics,Sean Howe,01-22-13,44
398,Ayoade on Top,Richard Ayoade,09-05-19,19
399,Everything Was Possible (Updated Edition),Ted Chapin,08-30-22,27
400,Searching for the Sound,Phil Lesh,04-11-05,14
401,How to Be an Artist,Jerry Saltz,03-17-20,14
402,Cabin Pressure,John Finnemore,11-26-08,15
403,Caddyshack,Chris Nashawaty,04-24-18,17
404,Super Powereds: Year Two (Dramatized Adaptation),Drew Hayes,04-01-23,35
405,Be My Baby,Ronnie Spector,06-07-22,21
406,How to Write Dazzling Dialogue,James Scott Bell,08-19-19,6
407,All the Pieces Matter,Jonathan Abrams,02-13-18,21
408,Life in Motion,Misty Copeland,03-04-14,24
409,Coal Miner's Daughter,Loretta Lynn,02-16-21,29
410,Teaching to Transgress,bell hooks,11-17-17,17
411,Cheech Is Not My Real Name,Cheech Marin,03-14-17,20
412,Boys in the Trees,Carly Simon,11-25-15,21
413,Fosse,Sam Wasson,11-05-13,31
414,Top of the Rock,Warren Littlefield,05-01-12,18
415,The Hard Stuff,Wayne Kramer,08-14-18,28
416,On Time,Morris Day,10-08-19,30
417,Cross the Tracks,Boosie Badazz,09-20-22,14
418,Learning to See,David Molnar,10-28-22,13
419,Not All Diamonds and Rosé,Dave Quinn,02-22-22,34
420,A Place of My Own,Michael Pollan,08-15-10,26
421,Screenwriting 101: Mastering the Art of Story,Angus Fletcher,11-10-17,35
422,Major Labels,Kelefa Sanneh,10-05-21,38
423,"Happy, Happy, Happy",Phil Robertson,05-07-13,14
424,Mozart in the Jungle,Blair Tindall,03-31-15,22
425,Herbie Hancock: Possibilities,Herbie Hancock,10-23-14,18
426,Becoming Superman,J. Michael Straczynski,07-23-19,36
427,Music Production 2022+ Edition,Tommy Swindali,04-28-22,17
428,The Bright Ages,Matthew Gabriele,12-07-21,32
429,Chasing the Light,Oliver Stone,08-10-20,23
430,Mike Nichols,Mark Harris,02-02-21,38
431,On Photography,Susan Sontag,09-02-11,17
432,The History of Rock & Roll,Ed Ward,12-06-16,27
433,The Life and Loves of a He Devil,Graham Norton,10-23-14,21
434,Warhol,Blake Gopnik,04-28-20,44
435,The Evolution of a Cro-Magnon,John Joseph,04-05-17,22
436,The Nolan Variations,Tom Shone,11-03-20,21
437,A Kim Jong-Il Production,Paul Fischer,02-03-15,21
438,Love and Let Die,John Higgs,03-28-23,21
439,Walt Disney: An American Original (Commemorative Edition),Bob Thomas,03-07-23,21
440,The Memoirs of Billy Shears: The Nine After 9-09 Edition,Thomas E. Uharriet,01-15-19,22
441,Horror Stories,Liz Phair,10-08-19,18
442,Dharma Punx,Noah Levine,08-30-16,18
443,The Painted Word,Tom Wolfe,09-07-12,14
444,Deal,Bill Kreutzmann,06-22-15,21
445,Cimino,Charles Elton,03-29-22,21
446,Make Noise,Eric Nuzum,12-10-19,30
447,The Sun & the Moon & the Rolling Stones,Rich Cohen,05-10-16,16
448,Long Train Runnin',Pat Simmons,05-17-22,21
449,Grunge Is Dead,Greg Prato,11-01-21,14
450,How to Play Dungeons & Dragons,Charles Goodwill,06-02-22,6
451,LAbyrinth,Randall Sullivan,09-04-18,22
452,Frank,James Kaplan,11-02-10,32
453,Stalking Shakespeare,Lee Durkee,04-18-23,17
454,Francis Bacon in Your Blood,Michael Peppiatt,10-06-16,22
455,The Duggars: 20 and Counting!,Michelle Duggar,01-14-11,17
456,My Seinfeld Year,Fred Stoller,07-16-15,3
